empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra_ebikes,extra_has_ebikes,extra_last_updated,extra_payment,extra_payment-terminal,extra_rental_uris_android,extra_rental_uris_ios,extra_renting,extra_returning,extra_slots,extra_uid,extra_address
25,2,10880ce63c335b9192ecf58992798f23,37.32345133870681,-121.90597593784332,Sunol St at San Carlos St,2023-08-22T02:33:57.417000Z,0,True,1692671542,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,27,e5b1f228-5347-47fc-a079-c1df0e8668f1,
4,19,f15f772b3686c852122d5d2737bb88a8,37.356834352780886,-121.89593575894831,Raymond Bernal Jr Memorial Park (8th St at Hedding St),2023-08-22T02:33:57.152000Z,1,True,1692671515,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,c0f36b61-82e5-4f63-9a28-1fa11f0149c9,
10,8,aef71869dbbdf150a0e6807bc3512730,37.36522655191025,-121.9168147444725,Skyport Dr at Technology Dr,2023-08-22T02:33:57.235000Z,5,True,1692671448,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,19,938f4dc0-e393-47e8-9449-3a82b2445662,
15,8,a73276ab34067c112ab469c5107e1d2c,37.83954308266563,-122.2987177222967,2100 Powell St,2023-08-22T02:33:57.360000Z,0,True,1692671563,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,e5741f79-1c88-4f19-8f34-59b4ab198375,
5,12,ccfc6870981cdd44b5a41bdee14e2a40,37.7873267660624,-122.41327822208405,Jones St at Post St,2023-08-22T02:33:57.429000Z,3,True,1692671563,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,18,11547c9b-2e36-4fc5-9e81-9d5817ae35dc,
2,21,35ecc8b9ed527420e102f4f1254583b2,37.75179164525661,-122.40521550178528,Potrero del Sol Park (25th St at Utah St),2023-08-22T02:33:57.142000Z,13,True,1692671508,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,6e7a5099-b2ba-40d4-9a24-29e0ae7dfd4b,
9,10,e1217bf29c178d096c6e92ea8dc36453,37.804036784023594,-122.26240932941435,Madison St at 17th St,2023-08-22T02:33:57.123000Z,0,True,1692671517,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,19,8d63ada7-a461-44c8-999d-4a8a45117e90,
5,10,8924b980effba05ac4610a4abd37839e,37.364060462258806,-121.9117319583893,Sonora Ave at 1st St,2023-08-22T02:33:57.287000Z,2,True,1692671557,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,15,cfda2dee-2f6c-400d-a1a7-ba1b2bdc6aee,
14,12,718cefa9c37e218744ea0cc193a3129a,37.7700298,-122.4117258,11th St at Bryant St,2023-08-22T02:33:57.088000Z,9,True,1692671471,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,27,a0406a84-2708-4727-84bf-9ca96894ef45,
3,20,9beee70db0437cf4bd24078239213bb6,37.36186680025918,-121.90931528806688,Gish Rd at 1st St,2023-08-22T02:33:57.473000Z,0,True,1692671557,"['key', 'creditcard']",True,https://sfo.lft.to/lastmile_qr_scan,https://sfo.lft.to/lastmile_qr_scan,1,1,23,b8cadddb-5ca8-43ec-98f3-2276e036950b,
